"timestep","value"
2019-03-13,7.14
2019-03-14,7.13
2019-03-15,7.29
2019-03-16,7.45
2019-03-17,7.23
2019-03-18,7.28
2019-03-19,7.21
2019-03-20,7.38
2019-03-21,7.44
2019-03-22,7.39
2019-03-23,7.46
2019-03-24,7.42
2019-03-25,7.13
2019-03-26,7.36
2019-03-27,7.38
2019-03-28,7.35
2019-03-29,7.37
2019-03-30,7.31
2019-03-31,7.27
2019-04-01,7.3
2019-04-02,7.3342857142857145
2019-04-03,7.330612244897958
2019-04-04,7.323556851311953
2019-04-05,7.4
2019-04-06,7.22
2019-04-07,7.311207830070804
2019-04-08,7.08
2019-04-09,7.28566609150949
2019-04-10,7.278720431112887
2019-04-11,9.02
2019-04-12,7.513656336099026
2019-04-13,7.529892955541745
2019-04-14,7.574163377761993
2019-04-15,7.611728456003592
2019-04-16,7.39
2019-04-17,7.47
2019-04-18,7.31
2019-04-19,7.38
2019-04-20,7.4
2019-04-21,7.22
2019-04-22,7.33
2019-04-23,7.08
2019-04-24,7.39
2019-04-25,7.28
2019-04-26,7.38
2019-04-27,7.06
2019-04-28,7.04
2019-04-29,6.88
2019-04-30,7.14
2019-05-01,7.55
2019-05-02,7.34
2019-05-03,7.51
2019-05-04,7.38
2019-05-05,7.21
2019-05-06,7.5
2019-05-07,7.48
2019-05-08,7.424285714285714
2019-05-09,7.49
2019-05-10,7.0
2019-05-11,7.38
2019-05-12,7.25
2019-05-13,7.26
2019-05-14,7.38
2019-05-15,7.64
2019-05-16,7.32
2019-05-17,7.5
2019-05-18,7.39
2019-05-19,7.46
2019-05-20,7.6
2019-05-21,7.47
2019-05-22,7.55
2019-05-23,7.58
2019-05-24,7.59
2019-05-25,7.54
2019-05-26,7.48
2019-05-27,7.62
2019-05-28,7.53
2019-05-29,7.58
2019-05-30,7.57
2019-05-31,7.59
2019-06-01,7.59
2019-06-02,7.3
2019-06-03,7.65
2019-06-04,7.58
2019-06-05,7.59
2019-06-06,7.56
2019-06-07,7.5
2019-06-08,7.39
2019-06-09,7.33
2019-06-10,7.4
2019-06-11,7.35
2019-06-12,7.4
2019-06-13,7.45
2019-06-14,7.4
2019-06-15,7.2
2019-06-16,7.42
2019-06-17,7.44
2019-06-18,7.44
2019-06-19,7.5
2019-06-20,7.4071428571428575
2019-06-21,7.5
2019-06-22,7.39
2019-06-23,7.37
2019-06-24,7.25
2019-06-25,7.408163265306123
2019-06-26,7.52
2019-06-27,7.52
2019-06-28,7.5
2019-06-29,7.49
2019-06-30,7.49
2019-07-01,7.44
2019-07-02,8.04
2019-07-03,7.59
2019-07-04,7.6
2019-07-05,7.63
2019-07-06,7.52
2019-07-07,7.45
2019-07-08,7.97
2019-07-09,7.7
2019-07-10,7.637142857142857
2019-07-11,7.47
2019-07-12,7.54
2019-07-13,7.612448979591837
2019-07-14,7.625655976676385
2019-07-15,8.0
2019-07-16,7.67
2019-07-17,7.7
2019-07-18,7.659729279466888
2019-07-19,7.54
2019-07-20,7.62
2019-07-21,7.55
2019-07-22,7.49
2019-07-23,7.52
2019-07-24,7.58
2019-07-25,7.77
2019-07-26,7.58
2019-07-27,7.6
2019-07-28,7.58
2019-07-29,7.59
2019-07-30,7.65
2019-07-31,7.66
2019-08-01,7.73
2019-08-02,7.65
2019-08-03,7.6
2019-08-04,7.67
2019-08-05,7.77
2019-08-06,7.66
2019-08-07,7.73
2019-08-08,7.82
2019-08-09,7.69
2019-08-10,7.74
2019-08-11,7.64
2019-08-12,7.69
2019-08-13,9.56
2019-08-14,8.53
2019-08-15,7.56
2019-08-16,7.78
2019-08-17,7.53
2019-08-18,7.55
2019-08-19,7.95
2019-08-20,7.86
2019-08-21,7.89
2019-08-22,7.73
2019-08-23,7.67
2019-08-24,7.7
2019-08-25,7.57
2019-08-26,7.29
2019-08-27,7.23
2019-08-28,7.35
2019-08-29,7.84
2019-08-30,8.1
2019-08-31,7.48
2019-09-01,7.56
2019-09-02,7.25
2019-09-03,7.25
2019-09-04,7.72
2019-09-05,7.91
2019-09-06,7.97
2019-09-07,7.988
2019-09-08,7.96
2019-09-09,7.47
2019-09-10,7.82
2019-09-11,8.05
2019-09-12,7.92
2019-09-13,7.86
2019-09-14,8.12
2019-09-15,7.86
2019-09-16,8.12
2019-09-17,8.15
2019-09-18,8.12
2019-09-19,8.08
2019-09-20,8.11
2019-09-21,7.87
2019-09-22,7.93
2019-09-23,8.49
2019-09-24,8.01
2019-09-25,8.15
2019-09-26,8.19
2019-09-27,8.24
2019-09-28,8.05
2019-09-29,7.39
2019-09-30,7.9
2019-10-01,7.99
2019-10-02,7.89
2019-10-03,8.27
2019-10-04,8.12
2019-10-05,8.21
2019-10-06,8.07
2019-10-07,8.04
2019-10-08,8.08
2019-10-09,8.17
2019-10-10,8.23
2019-10-11,8.19
2019-10-12,8.17
2019-10-13,8.23
2019-10-14,8.01
2019-10-15,7.85
2019-10-16,8.15
2019-10-17,8.05
2019-10-18,8.25
2019-10-19,8.22
2019-10-20,7.92
2019-10-21,8.1
2019-10-22,7.2
2019-10-23,7.1
2019-10-24,7.27
2019-10-25,7.21
2019-10-26,7.27
2019-10-27,7.28
2019-10-28,7.06
2019-10-29,7.27
2019-10-30,9.2
2019-10-31,7.45
2019-11-01,7.3
2019-11-02,7.31
2019-11-03,7.05
2019-11-04,7.19
2019-11-05,7.32
2019-11-06,7.36
2019-11-07,7.08
2019-11-08,7.1
2019-11-09,7.46
2019-11-10,7.19
2019-11-11,7.1
2019-11-12,7.26
2019-11-13,7.26
2019-11-14,7.77
2019-11-15,7.33
2019-11-16,7.76
2019-11-17,7.55
2019-11-18,7.18
2019-11-19,7.41
2019-11-20,7.38
2019-11-21,7.34
2019-11-22,7.44
2019-11-23,7.34
2019-11-24,9.04
2019-11-25,8.8
2019-11-26,7.28
2019-11-27,7.65
2019-11-28,7.45
2019-11-29,7.45
2019-11-30,7.21
2019-12-01,7.13
2019-12-02,6.89
2019-12-03,7.24
2019-12-04,7.26
2019-12-05,7.25
2019-12-06,7.36
2019-12-07,7.43
2019-12-08,7.19
2019-12-09,7.11
2019-12-10,7.28
2019-12-11,8.01
2019-12-12,7.81
2019-12-13,7.29
2019-12-14,7.39
2019-12-15,7.41
2019-12-16,7.02
2019-12-17,7.16
2019-12-18,7.27
2019-12-19,7.24
2019-12-20,7.2
2019-12-21,7.2
2019-12-22,6.96
2019-12-23,6.86
2019-12-24,6.96
2019-12-25,6.93
2019-12-26,6.92
2019-12-27,7.16
2019-12-28,7.02
2019-12-29,7.04
2019-12-30,7.01
2019-12-31,7.04
2020-01-01,6.94
2020-01-02,7.04
2020-01-03,7.035714285714286
2020-01-04,7.017959183673469
2020-01-05,7.017667638483965
2020-01-06,6.98
2020-01-07,7.37
2020-01-08,7.36
2020-01-09,7.49
2020-01-10,7.181620158267388
2020-01-11,7.202463854346404
2020-01-12,7.2
2020-01-13,7.28
2020-01-14,7.29
2020-01-15,7.34
2020-01-16,7.47
2020-01-17,7.45
2020-01-18,7.5
2020-01-19,7.44
2020-01-20,7.16
2020-01-21,7.25
2020-01-22,7.44
2020-01-23,7.42
2020-01-24,7.42
2020-01-25,7.54
2020-01-26,7.3
2020-01-27,7.27
2020-01-28,7.377142857142857
2020-01-29,7.26
2020-01-30,7.3
2020-01-31,7.28
2020-02-01,7.23
2020-02-02,7.05
2020-02-03,7.43
2020-02-04,7.55
2020-02-05,8.33
2020-02-06,7.29
2020-02-07,7.49
2020-02-08,7.32
2020-02-09,7.1
2020-02-10,7.35
2020-02-11,7.46
2020-02-12,7.477142857142858
2020-02-13,7.41
2020-02-14,7.58
2020-02-15,7.27
2020-02-16,7.2
2020-02-17,7.26
2020-02-18,7.33
2020-02-19,7.4
2020-02-20,7.8
2020-02-21,7.39
2020-02-22,7.3
2020-02-23,7.43
2020-02-24,7.4
2020-02-25,7.09
2020-02-26,7.0
2020-02-27,7.2
2020-02-28,7.23
2020-02-29,7.39
2020-03-01,7.14
2020-03-02,7.06
2020-03-03,7.22
2020-03-04,7.24
2020-03-05,7.05
2020-03-06,7.22
2020-03-07,7.1
2020-03-08,6.94
2020-03-09,7.17
2020-03-10,7.06
2020-03-11,7.1
2020-03-12,7.22
2020-03-13,7.1
2020-03-14,7.1
2020-03-15,7.1
2020-03-16,6.99
2020-03-17,7.19
2020-03-18,7.33
2020-03-19,7.2
2020-03-20,7.16
2020-03-21,7.06
2020-03-22,6.96
2020-03-23,6.94
2020-03-24,6.89
2020-03-25,6.88
2020-03-26,6.77
2020-03-27,6.75
2020-03-28,6.81
2020-03-29,6.97
2020-03-30,6.76
2020-03-31,6.8
2020-04-01,6.93
2020-04-02,6.94
2020-04-03,7.22
2020-04-04,6.99
2020-04-05,6.86
2020-04-06,6.81
2020-04-07,7.03
2020-04-08,6.74
2020-04-09,7.44
2020-04-10,6.56
2020-04-11,6.54
2020-04-12,6.36
2020-04-13,6.61
2020-04-14,6.65
2020-04-15,6.97
2020-04-16,6.72
2020-04-17,6.8
2020-04-18,6.93
2020-04-19,6.6
2020-04-20,6.76
2020-04-21,6.77
2020-04-22,6.99
2020-04-23,6.76
2020-04-24,6.86
2020-04-25,6.82
2020-04-26,6.84
2020-04-27,6.79
2020-04-28,7.12
2020-04-29,6.95
2020-04-30,6.9
2020-05-01,7.03
2020-05-02,7.0
2020-05-03,6.94
2020-05-04,6.77
2020-05-05,6.77
2020-05-06,7.14
2020-05-07,7.07
2020-05-08,7.22
2020-05-09,7.09
2020-05-10,6.93
2020-05-11,7.01
2020-05-12,6.98
2020-05-13,7.33
2020-05-14,7.34
2020-05-15,7.83
2020-05-16,7.24
2020-05-17,7.15
2020-05-18,7.29
2020-05-19,7.03
2020-05-20,7.34
2020-05-21,7.3
2020-05-22,7.3
2020-05-23,7.25
2020-05-24,7.28
2020-05-25,7.1
2020-05-26,7.23
2020-05-27,7.52
2020-05-28,7.45
